rotation_range,activation,cnn_unlock_epoch,base_model,num_dense_units_0,learning_rate,final_val_error,zoom_range,batch_size,height_shift_range,optimizer,epochs,cnn_learning_rate,run_name,width_shift_range,num_dense_layers,num_dense_units_1,unfreeze_percentage
24,relu,13,InceptionResNetV2,834,0.001817726137721805,0.6875,0.273,27,0.267,Adam,32,0.0004465841422553361,run_2018-02-08-153737_,0.013,3,127,0.25361788718705813
24,relu,18,MobileNet,154,0.0008383709547929253,0.890625,0.273,35,0.267,SGD,8,0.00022435029177690212,run_2018-02-08-144834_,0.013,2,439,0.16893901440112918
24,relu,24,ResNet50,218,0.00010311005645283783,0.875,0.273,50,0.267,Adam,1,0.0007490358151603908,run_2018-02-08-132530_,0.013,3,85,0.04640805359218429
24,tanh,12,Xception,1000,0.00015802127566026057,0.9375,0.273,45,0.267,RMSProp,1,0.0002758911648648801,run_2018-02-08-131914_,0.013,3,296,0.18511350304018717
24,relu,17,MobileNet,183,0.00027233924361869696,0.9266055039036165,0.273,17,0.267,SGD,2,0.00017379987110576712,run_2018-02-08-133322_,0.013,3,80,0.2617011372200081
24,relu,29,Xception,112,0.00011866154402909394,0.90625,0.273,40,0.267,Adam,2,4.2269499276638755e-05,run_2018-02-08-133126_,0.013,3,62,0.05879310003952833
24,tanh,23,InceptionResNetV2,372,0.00026835738398635247,0.6146788958015792,0.273,16,0.267,Adam,4,8.451343082591651e-05,run_2018-02-08-134437_,0.013,3,149,0.2020157313067293
24,relu,13,MobileNet,337,0.004268604075274736,0.8961038956200922,0.273,25,0.267,SGD,1,0.00021382427113501095,run_2018-02-08-131610_,0.013,3,96,0.2935389143040096
24,relu,27,InceptionV3,275,0.0006245707686486292,0.8441558436720402,0.273,23,0.267,RMSProp,1,4.56119804456153e-05,run_2018-02-08-131941_,0.013,3,162,0.19131425130324722
24,relu,21,ResNet50,412,0.00036333137839504294,0.890625,0.273,37,0.267,RMSProp,8,2.6804670396135513e-05,run_2018-02-08-150920_,0.013,3,273,0.11038062439156761
24,tanh,20,Xception,699,0.00042410173759327153,0.296875,0.273,32,0.267,Adam,32,6.61813807267213e-05,run_2018-02-08-155115_,0.013,3,101,0.0225853473275863
24,tanh,20,MobileNet,340,0.00015696215844388002,0.7522935760677407,0.273,17,0.267,RMSProp,2,3.608531416092223e-05,run_2018-02-08-133725_,0.013,3,117,0.023079139071074204
24,relu,30,InceptionResNetV2,289,0.00027930706769058807,0.703125,0.273,34,0.267,Adam,8,3.8146762325181635e-05,run_2018-02-08-134847_,0.013,3,335,0.13434691564631
